timestamp,time,open,high,low,close,volume,volume_weighted_average_price,number_of_trades
2020-11-09,05:50:00,10.35,10.35,10.35,10.35,250,10.35,1
2020-11-09,06:00:00,10.63,11.29,9.88,11.09,2211,10.7809,17
2020-11-09,06:05:00,11.79,12.1,11.2,12,8120,11.7489,35
2020-11-09,06:10:00,11.8,11.88,11.2,11.25,5682,11.5942,39
2020-11-09,06:15:00,11.5,11.5,11.5,11.5,320,11.5178,4
2020-11-09,06:20:00,11.69,11.7,11.59,11.7,7050,11.6825,18
2020-11-09,06:30:00,11.2,11.39,11.2,11.3,726,11.2842,7
2020-11-09,06:35:00,11.21,11.21,11.2,11.2,788,11.2094,12
2020-11-09,06:40:00,11.21,11.32,11.2,11.31,9217,11.2825,27
2020-11-09,06:45:00,11.31,11.5,11.31,11.48,7213,11.4321,11
2020-11-09,06:50:00,11.6,11.85,11.5,11.85,2414,11.6581,25
2020-11-09,06:55:00,11.85,11.96,11.81,11.9,4390,11.8922,30
2020-11-09,07:00:00,11.75,11.8,11.73,11.75,3303,11.7637,27
2020-11-09,07:05:00,11.75,11.9,11.7,11.7,1688,11.8623,21
2020-11-09,07:10:00,11.89,11.9,11.7502,11.89,1647,11.8479,14
2020-11-09,07:15:00,11.9,11.9,11.75,11.75,5385,11.8144,19
2020-11-09,07:20:00,11.75,11.82,11.75,11.76,2430,11.7995,13
2020-11-09,07:25:00,11.8,11.82,11.7,11.7,11401,11.8126,90
2020-11-09,07:30:00,11.7622,11.7622,11.08,11.1224,99506,11.4444,608
2020-11-09,07:35:00,11.11,11.1188,10.11,10.25,138192,10.4177,929
2020-11-09,07:40:00,10.25,10.26,9.85,9.98,113478,10.0241,630
2020-11-09,07:45:00,9.9,10.15,9.9,10.03,50279,10.0561,401
2020-11-09,07:50:00,10.02,11.03,9.965,10.0801,120712,10.2284,803
2020-11-09,07:55:00,10.0801,10.15,10.01,10.06,85817,10.0697,222
2020-11-09,08:00:00,10.0501,10.15,9.96,9.96,96299,10.0942,210
2020-11-09,08:05:00,9.9501,10.02,9.725,9.8134,45294,9.8634,328
2020-11-09,08:10:00,9.8499,10.2299,9.78,10.025,49016,10.0035,348
2020-11-09,08:15:00,9.96,10.12,9.96,10.035,13137,10.0643,144
2020-11-09,08:20:00,10.0632,10.0875,9.8001,9.9,14699,9.9245,156
2020-11-09,08:25:00,9.916,10.0316,9.85,9.9901,8427,9.9407,97
2020-11-09,08:30:00,10.02,10.0786,10.01,10.0299,6515,10.0279,86
2020-11-09,08:35:00,10.0101,10.04,10,10.01,19490,10.0178,218
2020-11-09,08:40:00,10.01,10.05,10,10.01,14685,10.0074,124
2020-11-09,08:45:00,10.04,10.04,9.835,9.8672,17931,9.8972,174
2020-11-09,08:50:00,9.85,10,9.85,9.91,74054,9.9639,139
2020-11-09,08:55:00,9.9279,10.05,9.9279,10.02,45051,10.0371,123
2020-11-09,09:00:00,10.0604,10.0604,9.99,9.99,109626,10.0124,159
2020-11-09,09:05:00,9.995,10.02,9.96,10.02,3113,9.9875,53
2020-11-09,09:10:00,10.03,10.05,10.01,10.026,4051,10.0242,35
2020-11-09,09:15:00,10.0499,10.0499,10.03,10.0338,11531,10.0342,102
2020-11-09,09:20:00,10.035,10.035,10.03,10.03,3286,10.0333,65
2020-11-09,09:25:00,10.03,10.04,9.965,9.965,19090,10.0175,186
2020-11-09,09:30:00,9.97,9.9878,9.95,9.97,7372,9.9632,55
2020-11-09,09:35:00,9.96,9.9978,9.9501,9.9978,56423,9.9562,61
2020-11-09,09:40:00,9.995,9.995,9.9701,9.9701,2823,9.9816,43
2020-11-09,09:45:00,9.98,9.98,9.95,9.95,5242,9.9599,52
2020-11-09,09:50:00,9.95,9.95,9.925,9.925,12396,9.945,74
2020-11-09,09:55:00,9.93,9.93,9.9065,9.91,6108,9.9179,69
2020-11-09,10:00:00,9.909,9.91,9.87,9.87,6191,9.8884,71
2020-11-09,10:05:00,9.86,9.87,9.85,9.865,5187,9.8607,55
2020-11-09,10:10:00,9.86,9.86,9.845,9.846,3247,9.8502,34
2020-11-09,10:15:00,9.8481,9.85,9.84,9.845,2537,9.8471,34
2020-11-09,10:20:00,9.8484,9.85,9.8,9.81,18850,9.8422,154
2020-11-09,10:25:00,9.81,9.83,9.761,9.776,137965,9.7993,127
2020-11-09,10:30:00,9.775,9.79,9.755,9.765,19129,9.7782,137
2020-11-09,10:35:00,9.765,9.88,9.765,9.87,9302,9.8528,103
2020-11-09,10:40:00,9.87,9.9,9.775,9.79,22450,9.8168,194
2020-11-09,10:45:00,9.78,9.88,9.7791,9.795,26184,9.8133,173
2020-11-09,10:50:00,9.8,9.86,9.7652,9.81,16363,9.8085,130
2020-11-09,10:55:00,9.7901,9.88,9.7901,9.875,5123,9.8405,68
2020-11-09,11:00:00,9.88,9.92,9.87,9.9,9197,9.8849,54
2020-11-09,11:05:00,9.912,10.02,9.91,10.02,10715,9.9368,79
2020-11-09,11:10:00,10.005,10.23,10.005,10.1,21795,10.1042,131
2020-11-09,11:15:00,10.0801,10.0941,10.06,10.09,4867,10.0811,39
2020-11-09,11:20:00,10.0894,10.11,10.06,10.11,54205,10.0808,67
2020-11-09,11:25:00,10.12,10.16,10.12,10.16,6120,10.1475,63
2020-11-09,11:30:00,10.14,10.22,10.14,10.1928,26515,10.1651,141
2020-11-09,11:35:00,10.1767,10.2999,10.1767,10.265,38438,10.2698,102
2020-11-09,11:40:00,10.27,10.27,10.2201,10.2201,7458,10.2392,85
2020-11-09,11:45:00,10.225,10.225,10.08,10.1,23303,10.1169,149
2020-11-09,11:50:00,10.1,10.13,10.07,10.07,17970,10.1014,82
2020-11-09,11:55:00,10.0679,10.2099,10.0601,10.1801,12051,10.1228,127
2020-11-09,12:00:00,10.2,10.25,10.195,10.245,16753,10.2327,184
2020-11-09,12:05:00,10.25,10.25,10.24,10.245,26911,10.247,200
2020-11-09,12:10:00,10.245,10.25,10.17,10.18,30316,10.2104,260
2020-11-09,12:15:00,10.18,10.25,10.165,10.25,22929,10.2,213
2020-11-09,12:20:00,10.25,10.2947,10.245,10.2865,37774,10.2639,265
2020-11-09,12:25:00,10.265,10.32,10.265,10.3033,32514,10.2946,167
2020-11-09,12:30:00,10.3,10.3,10.28,10.29,11315,10.2944,112
2020-11-09,12:35:00,10.29,10.29,10.2,10.215,11243,10.2549,101
2020-11-09,12:40:00,10.215,10.23,10.16,10.17,13399,10.1946,127
2020-11-09,12:45:00,10.17,10.17,10.125,10.125,8666,10.1551,99
2020-11-09,12:50:00,10.125,10.125,10.09,10.11,11957,10.1041,61
2020-11-09,12:55:00,10.12,10.13,10.08,10.125,16168,10.1148,156
2020-11-09,13:00:00,10.125,10.225,10.125,10.19,6840,10.1769,89
2020-11-09,13:05:00,10.22,10.22,10.1,10.12,9326,10.1535,105
2020-11-09,13:10:00,10.12,10.15,10.07,10.15,10383,10.1185,102
2020-11-09,13:15:00,10.15,10.1899,10.1217,10.135,13663,10.1516,87
2020-11-09,13:20:00,10.135,10.15,10.1101,10.14,10510,10.1374,88
2020-11-09,13:25:00,10.14,10.14,9.96,9.96,12829,10.0895,137
2020-11-09,13:30:00,9.96,10.0202,9.89,9.935,24977,9.9541,179
2020-11-09,13:35:00,9.935,9.935,9.8,9.865,16941,9.8514,197
2020-11-09,13:40:00,9.87,9.94,9.87,9.92,7705,9.8946,98
2020-11-09,13:45:00,9.92,10.09,9.88,9.99,34376,9.9737,300
2020-11-09,13:50:00,9.99,9.9999,9.97,9.9801,24595,9.9824,186
2020-11-09,13:55:00,9.98,10,9.85,9.88,114978,9.9577,787
2020-11-09,14:15:00,10.48,10.5,10.48,10.5,500,10.4728,5
2020-11-09,14:20:00,9.87,9.87,9.8,9.8,858,9.8202,13
2020-11-09,14:25:00,9.8,9.83,9.78,9.78,1184,9.8043,13
2020-11-09,14:40:00,9.83,9.83,9.83,9.83,102,9.83,1
2020-11-09,16:40:00,9.9,9.9,9.9,9.9,1000,9.9015,3
