timestamp,time,open,high,low,close,volume,volume_weighted_average_price,number_of_trades
2020-01-15,05:00:00,3.3,3.38,3.3,3.38,4993,3.358,11
2020-01-15,05:05:00,3.31,3.31,3.29,3.29,1511,3.2973,5
2020-01-15,05:15:00,3.17,3.2,3.12,3.12,3201,3.1423,22
2020-01-15,05:20:00,3.18,3.18,3.17,3.17,200,3.175,2
2020-01-15,05:25:00,3.15,3.18,3.15,3.18,600,3.1725,3
2020-01-15,05:40:00,3.2,3.2,3.2,3.2,275,3.2,1
2020-01-15,05:45:00,3.2,3.2,3.06,3.06,1172,3.17,9
2020-01-15,05:50:00,3.06,3.08,2.95,2.95,3694,3.0368,19
2020-01-15,05:55:00,2.95,2.95,2.88,2.95,6725,2.9408,24
2020-01-15,06:00:00,3.328,3.4,2.9,2.96,11948,2.9953,36
2020-01-15,06:05:00,2.96,2.98,2.96,2.98,2157,2.978,11
2020-01-15,06:10:00,3.1599,3.1599,3.0899,3.0899,800,3.1337,2
2020-01-15,06:15:00,3.04,3.04,3,3,2100,3.0095,11
2020-01-15,06:20:00,3.05,3.05,3.04,3.04,5700,3.0495,16
2020-01-15,06:25:00,3.04,3.07,3.04,3.05,1800,3.0523,10
2020-01-15,06:30:00,3.05,3.07,3.05,3.06,4594,3.0572,34
2020-01-15,06:35:00,3.0699,3.07,3.06,3.07,4150,3.0687,9
2020-01-15,06:40:00,3.0602,3.07,3.06,3.07,3250,3.0693,3
2020-01-15,06:45:00,3.07,3.07,3,3.0001,13022,3.0354,29
2020-01-15,06:50:00,3.02,3.05,3,3.05,1475,3.0132,13
2020-01-15,06:55:00,3.02,3.03,2.95,2.9925,7985,2.9938,29
2020-01-15,07:05:00,2.98,3,2.97,3,3163,2.9858,16
2020-01-15,07:10:00,3.02,3.15,3.02,3.15,13150,3.0747,43
2020-01-15,07:15:00,3.14,3.15,3.12,3.12,14864,3.1344,47
2020-01-15,07:20:00,3.1,3.12,3.01,3.03,5645,3.0791,23
2020-01-15,07:25:00,3.03,3.08,2.96,3,26598,3.0114,81
2020-01-15,07:30:00,2.98,3.13,2.9,3.04,346172,3.012,1053
2020-01-15,07:35:00,3.02,3.09,2.98,3.085,185616,3.0159,528
2020-01-15,07:40:00,3.0802,3.51,3.07,3.41,1121864.0,3.2964,3551
2020-01-15,07:45:00,3.41,3.87,3.36,3.6766,1721077.0,3.5482,7247
2020-01-15,07:50:00,3.6742,3.9,3.51,3.6,1617835.0,3.7349,7249
2020-01-15,07:55:00,3.6197,3.68,3.52,3.5474,541824,3.5913,2527
2020-01-15,08:00:00,3.55,3.74,3.45,3.52,703306,3.5969,2975
2020-01-15,08:05:00,3.53,3.69,3.46,3.66,475965,3.5756,1953
2020-01-15,08:10:00,3.655,3.77,3.52,3.55,608827,3.6412,2456
2020-01-15,08:15:00,3.54,3.55,3.45,3.5399,349138,3.4952,1353
2020-01-15,08:20:00,3.54,3.55,3.28,3.3252,561569,3.3683,2385
2020-01-15,08:25:00,3.33,3.39,3.3,3.37,144102,3.3501,617
2020-01-15,08:30:00,3.36,3.37,3.26,3.3219,159393,3.315,593
2020-01-15,08:35:00,3.32,3.5,3.32,3.435,377788,3.4194,1206
2020-01-15,08:40:00,3.44,3.5,3.36,3.44,235111,3.4343,965
2020-01-15,08:45:00,3.46,3.46,3.36,3.43,146460,3.4023,563
2020-01-15,08:50:00,3.43,3.43,3.33,3.38,94262,3.3781,324
2020-01-15,08:55:00,3.385,3.39,3.32,3.3799,67917,3.3531,265
2020-01-15,09:00:00,3.38,3.47,3.34,3.3658,221205,3.4137,720
2020-01-15,09:05:00,3.36,3.46,3.3578,3.4452,81789,3.4109,273
2020-01-15,09:10:00,3.445,3.5798,3.42,3.5285,239540,3.496,846
2020-01-15,09:15:00,3.525,3.5354,3.31,3.35,311360,3.4253,1243
2020-01-15,09:20:00,3.3496,3.39,3.31,3.3248,103566,3.3472,422
2020-01-15,09:25:00,3.31,3.34,3.26,3.265,172099,3.298,579
2020-01-15,09:30:00,3.2653,3.32,3.17,3.3162,259170,3.2337,978
2020-01-15,09:35:00,3.316,3.33,3.25,3.2706,109598,3.2891,337
2020-01-15,09:40:00,3.28,3.28,3.22,3.246,70097,3.2465,260
2020-01-15,09:45:00,3.23,3.26,3.18,3.225,130913,3.2215,448
2020-01-15,09:50:00,3.23,3.29,3.21,3.27,82046,3.2322,210
2020-01-15,09:55:00,3.27,3.28,3.25,3.26,36349,3.2604,163
2020-01-15,10:00:00,3.26,3.28,3.24,3.2599,42994,3.2536,112
2020-01-15,10:05:00,3.2599,3.2599,3.13,3.17,158786,3.1718,657
2020-01-15,10:10:00,3.16,3.19,3.132,3.1419,87362,3.1589,456
2020-01-15,10:15:00,3.1402,3.18,3.13,3.16,57243,3.1555,288
2020-01-15,10:20:00,3.1601,3.165,3.13,3.1399,74402,3.1454,237
2020-01-15,10:25:00,3.1373,3.17,3.1,3.12,109820,3.1185,416
2020-01-15,10:30:00,3.12,3.1301,3.02,3.0719,204526,3.0605,718
2020-01-15,10:35:00,3.08,3.11,3.06,3.07,57318,3.09,230
2020-01-15,10:40:00,3.07,3.11,2.99,3.01,123208,3.0405,332
2020-01-15,10:45:00,3.0193,3.08,2.96,3.04,285118,3.0106,899
2020-01-15,10:50:00,3.0301,3.1,3.0301,3.06,132881,3.0748,438
2020-01-15,10:55:00,3.05,3.1,3.04,3.0701,98316,3.0785,258
2020-01-15,11:00:00,3.065,3.07,3.04,3.0597,25560,3.0539,103
2020-01-15,11:05:00,3.05,3.07,3.04,3.04,22682,3.052,131
2020-01-15,11:10:00,3.045,3.155,3.045,3.11,93746,3.1014,363
2020-01-15,11:15:00,3.12,3.18,3.11,3.1582,154377,3.1499,565
2020-01-15,11:20:00,3.16,3.16,3.07,3.1096,97215,3.1143,316
2020-01-15,11:25:00,3.1053,3.12,3.07,3.0835,43953,3.0902,140
2020-01-15,11:30:00,3.0832,3.09,3.07,3.08,16644,3.0773,69
2020-01-15,11:35:00,3.08,3.085,3.05,3.0613,48023,3.0609,174
2020-01-15,11:40:00,3.06,3.08,3.05,3.08,8997,3.0625,63
2020-01-15,11:45:00,3.085,3.14,3.085,3.12,52591,3.1173,189
2020-01-15,11:50:00,3.11,3.13,3.0799,3.1001,33936,3.103,159
2020-01-15,11:55:00,3.0901,3.12,3.0901,3.094,30777,3.1028,86
2020-01-15,12:00:00,3.09,3.12,3.09,3.11,10731,3.1009,40
2020-01-15,12:05:00,3.12,3.3,3.115,3.22,249094,3.2221,854
2020-01-15,12:10:00,3.215,3.2695,3.21,3.265,62336,3.2344,183
2020-01-15,12:15:00,3.27,3.29,3.13,3.15,132577,3.2009,604
2020-01-15,12:20:00,3.16,3.17,3.08,3.1299,65152,3.1258,317
2020-01-15,12:25:00,3.1204,3.1399,3.1,3.1399,39875,3.1078,132
2020-01-15,12:30:00,3.1374,3.14,3.1,3.12,16385,3.1227,64
2020-01-15,12:35:00,3.12,3.1278,3.1,3.1,33554,3.1078,143
2020-01-15,12:40:00,3.0958,3.112,3.085,3.1,36916,3.0938,178
2020-01-15,12:45:00,3.095,3.11,3.05,3.06,56489,3.0818,231
2020-01-15,12:50:00,3.05,3.12,3.01,3.0867,62706,3.0606,282
2020-01-15,12:55:00,3.1,3.1199,3.07,3.07,33524,3.0951,88
2020-01-15,13:00:00,3.0793,3.1015,3.07,3.09,10051,3.094,94
2020-01-15,13:05:00,3.08,3.1,3.05,3.09,22745,3.0678,128
2020-01-15,13:10:00,3.08,3.0879,2.99,3.03,156978,3.0191,424
2020-01-15,13:15:00,3.035,3.05,3.01,3.04,52285,3.0313,241
2020-01-15,13:20:00,3.0491,3.06,2.99,3.02,131952,3.0189,482
2020-01-15,13:25:00,3.0192,3.0399,2.99,3.035,67098,3.0079,289
2020-01-15,13:30:00,3.035,3.07,3.03,3.0566,49340,3.0523,272
2020-01-15,13:35:00,3.05,3.05,3.0101,3.0301,25131,3.0307,185
2020-01-15,13:40:00,3.0399,3.0399,3.01,3.02,29153,3.0181,226
2020-01-15,13:45:00,3.015,3.02,2.95,2.962,70164,2.9808,401
2020-01-15,13:50:00,2.962,3.045,2.95,3.02,108762,2.9973,578
2020-01-15,13:55:00,3.03,3.08,3.01,3.08,126743,3.0636,501
2020-01-15,14:00:00,3.08,3.1,3.0699,3.0699,3082,3.0787,9
2020-01-15,14:05:00,3.08,3.08,3.08,3.08,200,3.08,1
2020-01-15,14:10:00,3.06,3.06,3.05,3.05,600,3.0566,3
2020-01-15,14:15:00,3.05,3.05,3.0499,3.05,848,3.05,5
2020-01-15,14:20:00,3.04,3.0992,3.04,3.06,6173,3.0891,8
2020-01-15,14:25:00,3.08,3.08,3.08,3.08,200,3.08,1
2020-01-15,14:30:00,3.08,3.08,3.08,3.08,441,3.08,2
2020-01-15,14:35:00,3.0701,3.0701,3.07,3.07,455,3.0701,2
2020-01-15,14:40:00,3.1,3.1,3.1,3.1,300,3.1,1
2020-01-15,14:45:00,3.1,3.1,3.1,3.1,200,3.1,1
2020-01-15,14:50:00,3.11,3.11,3.07,3.07,1190,3.0846,7
2020-01-15,14:55:00,3.1399,3.1399,3.1398,3.1398,400,3.1399,2
2020-01-15,15:00:00,3.14,3.14,3.14,3.14,317,3.14,1
2020-01-15,15:05:00,3.14,3.15,3.14,3.15,1528,3.1466,6
2020-01-15,15:10:00,3.15,3.15,3.14,3.14,971,3.1488,4
2020-01-15,15:15:00,3.14,3.14,3.1399,3.1399,600,3.1399,2
2020-01-15,15:20:00,3.13,3.13,3.13,3.13,1200,3.13,4
2020-01-15,15:25:00,3.1399,3.1399,3.1399,3.1399,500,3.1399,4
2020-01-15,15:30:00,3.14,3.14,3.1399,3.14,480,3.14,5
2020-01-15,15:35:00,3.15,3.15,3.14,3.15,410,3.1451,6
2020-01-15,15:40:00,3.14,3.14,3.14,3.14,450,3.14,3
2020-01-15,15:45:00,3.15,3.15,3.15,3.15,3943,3.15,3
2020-01-15,15:50:00,3.15,3.15,3.14,3.14,1500,3.147,4
2020-01-15,15:55:00,3.1363,3.15,3.13,3.15,665,3.1442,3
2020-01-15,16:15:00,3.15,3.15,3.15,3.15,100,3.15,1
2020-01-15,16:20:00,3.14,3.14,3.07,3.07,5574,3.0776,6
