timestamp,time,open,high,low,close,volume,volume_weighted_average_price,number_of_trades
2022-08-01,01:00:00,2.74,3.29,2.73,3.15,218091,3.1854,1379
2022-08-01,01:05:00,3.16,3.16,3.11,3.12,86612,3.1234,607
2022-08-01,01:10:00,3.12,3.24,3.1,3.24,60260,3.1551,399
2022-08-01,01:15:00,3.24,3.45,3.2,3.33,257947,3.3183,1471
2022-08-01,01:20:00,3.34,3.34,3.23,3.24,95743,3.2661,613
2022-08-01,01:25:00,3.25,3.25,3.17,3.18,100143,3.2016,528
2022-08-01,01:30:00,3.17,3.22,3.14,3.18,79062,3.1703,402
2022-08-01,01:35:00,3.18,3.21,3.15,3.2,43063,3.1838,305
2022-08-01,01:40:00,3.19,3.22,3.17,3.18,46119,3.1831,226
2022-08-01,01:45:00,3.18,3.26,3.18,3.21,96530,3.2344,389
2022-08-01,01:50:00,3.22,3.25,3.22,3.23,20869,3.2336,129
2022-08-01,01:55:00,3.24,3.3,3.23,3.29,80236,3.2685,382
2022-08-01,02:00:00,3.29,3.33,3.24,3.28,65148,3.293,409
2022-08-01,02:05:00,3.27,3.34,3.24,3.34,54143,3.2979,270
2022-08-01,02:10:00,3.34,3.39,3.32,3.36,92151,3.3685,602
2022-08-01,02:15:00,3.38,3.42,3.36,3.41,81254,3.3862,333
2022-08-01,02:20:00,3.41,3.56,3.4,3.43,192566,3.473,974
2022-08-01,02:25:00,3.42,3.5,3.42,3.49,62385,3.4697,406
2022-08-01,02:30:00,3.49,3.5,3.42,3.46,44600,3.4494,332
2022-08-01,02:35:00,3.49,3.56,3.47,3.48,96018,3.5099,487
2022-08-01,02:40:00,3.48,3.64,3.47,3.62,134205,3.5729,680
2022-08-01,02:45:00,3.62,3.63,3.57,3.59,93376,3.593,487
2022-08-01,02:50:00,3.6,3.6,3.5,3.53,69827,3.5444,521
2022-08-01,02:55:00,3.52,3.6,3.52,3.58,53155,3.5763,385
2022-08-01,03:00:00,3.58,3.67,3.53,3.59,81755,3.6014,538
2022-08-01,03:05:00,3.6,3.64,3.51,3.61,39951,3.5915,356
2022-08-01,03:10:00,3.62,3.65,3.59,3.61,64904,3.6204,355
2022-08-01,03:15:00,3.62,3.63,3.61,3.61,28999,3.6154,187
2022-08-01,03:20:00,3.61,3.62,3.56,3.56,81441,3.6036,280
