timestamp,time,open,high,low,close,volume,volume_weighted_average_price,number_of_trades
2013-11-19,05:45:00,4.65,4.73,4.55,4.73,600,4.6583,6
2013-11-19,06:00:00,4.85,5,4.85,5,5100,4.9971,28
2013-11-19,06:05:00,5,5.1,5,5.1,11200,5.0436,13
2013-11-19,06:10:00,5.55,5.55,5.52,5.52,450,5.5433,2
2013-11-19,06:15:00,5.52,5.52,5.2,5.51,57000,5.4699,107
2013-11-19,06:20:00,5.5,5.52,5.3,5.5,140100,5.477,419
2013-11-19,06:25:00,5.5,5.52,5.35,5.36,112205,5.4919,333
2013-11-19,06:30:00,5.44,5.57,5.44,5.57,235030,5.5127,287
2013-11-19,06:35:00,5.56,5.65,5.55,5.65,90587,5.5889,558
2013-11-19,06:40:00,5.65,5.72,5.63,5.66,84904,5.6748,354
2013-11-19,06:45:00,5.65,5.7,5.5,5.5,94906,5.634,173
2013-11-19,06:50:00,5.47,5.62,5.38,5.6,78322,5.5282,110
2013-11-19,06:55:00,5.6,5.7,5.6,5.7,122830,5.6301,119
2013-11-19,07:00:00,5.72,5.76,5.72,5.76,51100,5.7433,50
2013-11-19,07:05:00,5.78,5.8,5.73,5.75,73880,5.7665,153
2013-11-19,07:10:00,5.76,5.79,5.74,5.76,100810,5.7561,233
2013-11-19,07:15:00,5.76,5.8,5.76,5.78,47300,5.7747,44
2013-11-19,07:20:00,5.78,5.78,5.72,5.72,23538,5.7515,44
2013-11-19,07:25:00,5.74,5.82,5.72,5.74,72163,5.7689,103
2013-11-19,07:30:00,5.74,5.88,5.62,5.7599,839465,5.7628,1995
2013-11-19,07:35:00,5.7585,5.77,5.47,5.58,519525,5.5918,1414
2013-11-19,07:40:00,5.54,5.6,5.5,5.525,316878,5.5436,1050
2013-11-19,07:45:00,5.52,5.66,5.47,5.642,449855,5.5663,1240
2013-11-19,07:50:00,5.65,5.98,5.65,5.965,745242,5.8316,2819
2013-11-19,07:55:00,5.9686,5.97,5.85,5.9263,318139,5.9191,1146
2013-11-19,08:00:00,5.93,5.96,5.85,5.95,298412,5.8957,1099
2013-11-19,08:05:00,5.945,6.04,5.87,6.03,636368,5.9921,2519
2013-11-19,08:10:00,6.03,6.08,6,6.03,367072,6.0426,1301
2013-11-19,08:15:00,6.03,6.05,5.96,5.9899,284672,6.0054,791
2013-11-19,08:20:00,5.9855,6.0298,5.9,5.9,177019,5.9716,660
2013-11-19,08:25:00,5.91,5.94,5.82,5.93,177408,5.8836,799
2013-11-19,08:30:00,5.93,5.94,5.72,5.801,160469,5.8083,691
2013-11-19,08:35:00,5.8,5.88,5.78,5.78,405898,5.8402,481
2013-11-19,08:40:00,5.78,5.81,5.74,5.8,80516,5.7809,340
2013-11-19,08:45:00,5.793,5.9,5.793,5.8,112188,5.8422,319
2013-11-19,08:50:00,5.8,5.84,5.76,5.8199,80215,5.794,307
2013-11-19,08:55:00,5.82,5.9,5.801,5.9,116465,5.8398,249
2013-11-19,09:00:00,5.9,5.94,5.82,5.8597,148508,5.8866,401
2013-11-19,09:05:00,5.85,5.85,5.82,5.8399,74232,5.842,156
2013-11-19,09:10:00,5.835,5.86,5.83,5.85,29997,5.8422,135
2013-11-19,09:15:00,5.86,6.0199,5.85,5.97,122510,5.9453,377
2013-11-19,09:20:00,5.97,5.991,5.911,5.9501,77108,5.9644,226
2013-11-19,09:25:00,5.96,6.01,5.95,6,228550,5.9777,356
2013-11-19,09:30:00,6.0001,6.08,5.97,6.0299,996431,6.0069,591
2013-11-19,09:35:00,6.02,6.07,5.98,6,203556,6.0173,616
2013-11-19,09:40:00,5.99,6,5.94,5.96,59344,5.9669,258
2013-11-19,09:45:00,5.98,5.98,5.93,5.96,51156,5.9488,212
2013-11-19,09:50:00,5.962,5.98,5.96,5.96,31100,5.9694,140
2013-11-19,09:55:00,5.96,6.02,5.95,6.02,88217,5.986,309
2013-11-19,10:00:00,6.02,6.03,5.95,5.95,45977,5.9776,151
2013-11-19,10:05:00,5.9599,6.03,5.95,6.01,92526,5.9946,274
2013-11-19,10:10:00,6.01,6.02,5.98,5.9801,44709,6.0039,145
2013-11-19,10:15:00,5.98,5.99,5.97,5.98,28724,5.9825,153
2013-11-19,10:20:00,5.98,6,5.97,5.99,36000,5.9765,186
2013-11-19,10:25:00,5.99,6.01,5.98,5.99,44600,5.9943,206
2013-11-19,10:30:00,5.9896,5.9999,5.92,5.9201,63385,5.9534,189
2013-11-19,10:35:00,5.92,5.94,5.85,5.9,71838,5.8895,254
2013-11-19,10:40:00,5.9,5.9,5.88,5.9,47130,5.8849,182
2013-11-19,10:45:00,5.899,5.8999,5.85,5.86,38804,5.8669,139
2013-11-19,10:50:00,5.86,5.87,5.84,5.85,52660,5.8526,221
2013-11-19,10:55:00,5.85,5.85,5.8,5.83,85346,5.8176,332
2013-11-19,11:00:00,5.85,5.89,5.81,5.83,35609,5.8462,183
2013-11-19,11:05:00,5.835,5.86,5.81,5.83,58009,5.8375,205
2013-11-19,11:10:00,5.835,5.9,5.81,5.89,66702,5.8692,247
2013-11-19,11:15:00,5.87,5.9,5.85,5.9,57875,5.8744,258
2013-11-19,11:20:00,5.89,5.94,5.89,5.93,75309,5.9075,328
2013-11-19,11:25:00,5.92,5.98,5.89,5.9,89848,5.9327,357
2013-11-19,11:30:00,5.9,5.91,5.85,5.91,33550,5.8791,216
2013-11-19,11:35:00,5.91,5.91,5.87,5.87,201294,5.8942,281
2013-11-19,11:40:00,5.87,5.89,5.84,5.84,19053,5.8713,118
2013-11-19,11:45:00,5.84,5.845,5.8,5.8,57700,5.8069,173
2013-11-19,11:50:00,5.8,5.8099,5.75,5.75,62323,5.7846,279
2013-11-19,11:55:00,5.75,5.82,5.75,5.8,82568,5.7628,363
2013-11-19,12:00:00,5.8,5.84,5.8,5.82,30075,5.8199,179
2013-11-19,12:05:00,5.81,5.9,5.8,5.87,64665,5.8401,261
2013-11-19,12:10:00,5.85,5.9,5.84,5.88,21775,5.87,132
2013-11-19,12:15:00,5.88,5.9,5.85,5.89,30921,5.871,214
2013-11-19,12:20:00,5.885,5.9,5.87,5.88,63186,5.8977,255
2013-11-19,12:25:00,5.88,5.9,5.86,5.9,38446,5.8909,149
2013-11-19,12:30:00,5.9,5.95,5.88,5.9,87893,5.9068,340
2013-11-19,12:35:00,5.9,5.91,5.82,5.88,66784,5.8572,332
2013-11-19,12:40:00,5.89,5.9,5.86,5.8899,33432,5.8891,185
2013-11-19,12:45:00,5.89,5.91,5.86,5.9,36973,5.8878,177
2013-11-19,12:50:00,5.89,5.895,5.85,5.87,19461,5.8701,122
2013-11-19,12:55:00,5.87,5.87,5.8,5.8,50900,5.8238,173
2013-11-19,13:00:00,5.8096,5.87,5.8,5.84,48786,5.8269,186
2013-11-19,13:05:00,5.85,5.93,5.85,5.89,55873,5.8945,238
2013-11-19,13:10:00,5.9,5.9,5.87,5.9,49318,5.8883,222
2013-11-19,13:15:00,5.8999,5.94,5.89,5.89,80172,5.9149,352
2013-11-19,13:20:00,5.89,5.91,5.89,5.9,45490,5.8951,201
2013-11-19,13:25:00,5.9,5.98,5.89,5.97,122078,5.9292,481
2013-11-19,13:30:00,5.97,6.03,5.96,6.028,119558,6,458
2013-11-19,13:35:00,6.03,6.03,5.99,6.02,110501,6.0099,404
2013-11-19,13:40:00,6.0155,6.02,5.99,5.9965,59004,6.0001,244
2013-11-19,13:45:00,5.99,6.01,5.99,6,102854,6.002,418
2013-11-19,13:50:00,6.01,6.04,6,6.03,194423,6.0241,759
2013-11-19,13:55:00,6.0301,6.09,6.03,6.08,481738,6.0588,1729
2013-11-19,14:00:00,6.06,6.09,6.05,6.07,2283,6.064,12
2013-11-19,14:05:00,6.08,6.08,6.08,6.08,800,6.08,3
2013-11-19,14:10:00,6.09,6.09,6.09,6.09,4700,6.09,8
2013-11-19,14:15:00,6.09,6.1,6.09,6.1,10500,6.0981,20
2013-11-19,14:20:00,6.1,6.11,6.1,6.11,321600,5.888,9
